id,created_at,source_title,channel,context,text,tone_labels,risk_labels,is_synthetic,window_sentences,notes,positive_labels_extended,risk_labels_extended,principles_detected,language_compliance_pass
TRB_0026,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Why uncertainty is a design signal, not a flaw In most AI systems, uncertainty is treated as something to hide or smooth over.",direct|formal|signal_based,,False,1,,signal_based,,1.0,True
TRB_0027,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Q: Why show uncertainty? A: Because pretending to be certain can be harmful.,reflective,,False,2,,,,0.0,False
TRB_0028,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Uncertainty helps the system know when to step back.,authoritative|regulation_focused,,False,1,,,urgency_pressure,1.0,True
TRB_0029,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"When confidence is mixed, it doesn’t resolve the ambiguity.",direct|signal_based,,False,1,,,,1.0,True
TRB_0030,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Q: What happens if I’m unsafe?,reflective,,False,1,,,,0.0,False
TRB_0031,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"From a human perspective, it can feel wrong. Wellbeing is contextual, fluctuating and deeply personal.",direct,,False,2,,,,0.0,False
TRB_0032,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Uncertainty helps the system know when to step back. Q: Does it store my data?,authoritative|reflective|regulation_focused,,False,2,,,urgency_pressure,1.0,True
TRB_0033,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"The problem with overconfident AI in wellbeing Many AI-powered wellbeing tools are built to deliver clean answers: a score, a label, a recommendation. From a product perspective, this can feel reassuring.",direct,,False,2,,,,0.0,False
TRB_0034,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Transparency as a trust-building strategy, not a disclaimer Transparency in S.Y.N.Cstate isn’t a footnote or a legal safeguard it’s embedded in the experience. Users can see: Confidence levels Probability distributions When and why the system changes behavior This kind of transparency does more than inform.",authoritative|signal_based|warm,,False,2,,state_based,,1.0,True
TRB_0035,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"What this means for the future of wellbeing technology As AI becomes more integrated into wellbeing tools, the biggest risk isn’t that systems will be inaccurate it’s that they’ll be overconfident.",direct,,False,1,,,,0.0,False
TRB_0036,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Outputs are framed as answers, even when the model isn’t sure. S.Y.N.Cstate takes a different approach: uncertainty is treated as meaningful information.",direct|signal_based,,False,2,,state_based,,1.0,True
TRB_0037,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,It builds trust by aligning system behavior with brand values.,direct,,False,1,,,,0.0,False
TRB_0038,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"When confidence is higher, it still frames outputs as reflection prompts, not truths.",reflective|signal_based,,False,1,,,,1.0,True
TRB_0039,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"From a product perspective, this can feel reassuring. From a human perspective, it can feel wrong.",direct,,False,2,,,,0.0,False
TRB_0040,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,A: The app should redirect to crisis resources. Human support comes first.,direct|empathetic|regulation_focused|warm,,False,2,,regulation_focused,,1.0,True
TRB_0041,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Keeping human judgment at the center of AI systems At every point in the S.Y.N.Cstate experience, the human remains in control. The system never says “you are X.” It says, “this resembles X does that fit?” When confidence is low, the system doesn’t guess.",authoritative|reflective|signal_based,absolute_language|identity_labeling,False,2,,state_based,identity_labeling,1.0,True
TRB_0042,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Rather than asking “How can we make the model sound confident?”, the design question becomes: “How should the system behave when it isn’t confident?” This shift changes everything from interaction flow to tone of voice. Uncertainty isn’t a failure of intelligence.",authoritative|capacity_honoring|direct|reflective,shame_framing,False,2,,,,1.0,True
TRB_0043,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Any saved steps are session-based unless you choose to export them. Q: What happens if I’m unsafe?,reflective,,False,2,,,,0.0,False
TRB_0044,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"It’s about behaving proportionally to what the system actually knows. Keeping human judgment at the center of AI systems At every point in the S.Y.N.Cstate experience, the human remains in control.",authoritative,,False,2,,state_based,urgency_pressure,0.0,False
TRB_0045,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Why this project matters beyond the demo S.Y.N.Cstate was intentionally built as a conceptual demo, not a finished product. Its purpose is to show how technical architecture, UX writing and brand ethics can work together to communicate integrity.",direct|integration_oriented,,False,2,,integration_oriented|state_based,,1.0,True
TRB_0046,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,Confidence scores are buried. Probabilities are abstracted away.,direct|signal_based,,False,2,,,,1.0,True
TRB_0047,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,It’s about behaving proportionally to what the system actually knows.,authoritative,,False,1,,,urgency_pressure,0.0,False
TRB_0048,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"Using S.Y.N.Cstate as a practical case study, I’ll show how uncertainty-aware AI systems can support reflection, preserve human judgment and build trust by knowing when not to decide.",authoritative|empathetic|reflective|regulation_focused|warm,,False,1,,regulation_focused|state_based,urgency_pressure,1.0,True
TRB_0049,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,S.Y.N.Cstate takes a different approach: uncertainty is treated as meaningful information.,direct|signal_based,,False,1,,state_based,,1.0,True
TRB_0050,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"In wellbeing contexts, the goal isn’t prediction it’s self-awareness. AI becomes a mirror, not a judge.",direct|reflective|regulation_focused,,False,2,,,,1.0,True
TRB_0051,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"From a human perspective, it can feel wrong.",direct,,False,1,,,,0.0,False
TRB_0052,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"A: In the demo, it doesn’t need personal identifiers.",direct,,False,1,,,,0.0,False
TRB_0053,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"From a product perspective, this can feel reassuring.",direct,,False,1,,,,0.0,False
TRB_0054,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"If you try it and it doesn’t fit, that’s okay and it's designed to make room for that reality.",direct,,False,1,,,,0.0,False
TRB_0055,2026-02-04,Ethical AI — why uncertainty and transparency matter,Blog,TRB audience — transformational leaders,"This is intentional. In wellbeing contexts, the goal isn’t prediction it’s self-awareness.",direct|reflective,,False,2,,,,0.0,False
TRB_0056,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,Is the way I work now something I’d still want in 10 years?,direct|reflective,urgency_pressure,False,1,,,urgency_pressure,0.0,False
TRB_0057,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,So here’s to Sum — a quiet powerhouse.,calm|direct|warm,,False,1,,,,0.0,False
TRB_0058,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"Some people walk into your awareness quietly, not with a pitch, but with presence and soul bare for the world to see.",calm|direct|warm,,False,1,,integration_oriented,,0.0,False
TRB_0059,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"In truth, what moves me most about her development isn’t her income. It’s her questions.",reflective,,False,2,,,,0.0,False
TRB_0060,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"We met because of music; that universal language that doesn’t care about dialect, color, time zones or titles. It brought us into the same space.",warm,,False,2,,capacity_honoring,,0.0,False
TRB_0061,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"So here’s to Sum — a quiet powerhouse. She’s the reason I stopped asking, “will they get it?” And started saying, “I get it.",calm|direct|reflective|warm,,False,2,,,,0.0,False
TRB_0062,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"The gentle but powerful way she leads her business with honesty, grace and sheer dedication to those she helps. She didn’t use the T.R.B™ System.",calm|regulation_focused,,False,2,,,,1.0,True
TRB_0063,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"But what kept me paying attention wasn’t just a shared beat, it was her rhythm.",direct,,False,1,,,,0.0,False
TRB_0064,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,And that’s enough.” — Tomera T.R.B Comms™ | Transformation Without the Noise,direct,,False,1,,,,0.0,False
TRB_0065,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"It’s not stable.” So, like many, she ran a business and worked as an educator for 15 years. It wasn’t until 2017 that she left the classroom to become a full-time tutor.",direct,,False,2,,,,0.0,False
TRB_0066,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"And within six months, she was already earning more than her teaching salary.",direct,,False,1,,,,0.0,False
TRB_0067,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,I met her husband first but then met Sum and she was pure light. An innocense and kindness you don't often feel from such a strong women.,reflective|warm,,False,2,,,,0.0,False
TRB_0068,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"And yet, her inner dialogue stayed honest: “I can’t believe this is working.” “I can’t believe this is still working.” Sumantha reminds us that success isn’t always a roar. Sometimes it’s a whisper that says, keep going and keep it consistent.",direct|reflective,absolute_language,False,2,,,,0.0,False
TRB_0069,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"But what kept me paying attention wasn’t just a shared beat, it was her rhythm. The cadence of her choices.",direct,,False,2,,,,0.0,False
TRB_0070,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"And within six months, she was already earning more than her teaching salary. But the most human part was It took her 2 years to trust it.",direct,,False,2,,,,0.0,False
TRB_0071,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,She chose a path of self-discovery to understand her true passion which is never the easiest choice.,direct,absolute_language,False,1,,,,0.0,False
TRB_0072,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"Sumantha was one of those people for me and she embodies our core values; Trust, Resilience and Bravery. We met because of music; that universal language that doesn’t care about dialect, color, time zones or titles.",warm,,False,2,,,,0.0,False
TRB_0073,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,She didn’t use the T.R.B™ System.,direct,,False,1,,,,0.0,False
TRB_0074,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"And yet, her inner dialogue stayed honest: “I can’t believe this is working.” “I can’t believe this is still working.” Sumantha reminds us that success isn’t always a roar.",direct|reflective,absolute_language,False,1,,,,0.0,False
TRB_0075,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,I met her husband first but then met Sum and she was pure light.,reflective,,False,1,,,,0.0,False
TRB_0076,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,It brought us into the same space.,direct,,False,1,,capacity_honoring,,0.0,False
TRB_0077,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"She’s the reason I stopped asking, “will they get it?” And started saying, “I get it. And that’s enough.” — Tomera T.R.B Comms™ | Transformation Without the Noise",direct|reflective,,False,2,,,,0.0,False
TRB_0078,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"We met because of music; that universal language that doesn’t care about dialect, color, time zones or titles.",warm,,False,1,,,,0.0,False
TRB_0079,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"The ones that show me she’s leading herself with intention, even when no one’s watching. What kind of future do I want and how much do I need to make it happen?",reflective|warm,absolute_language,False,2,,,,0.0,False
TRB_0080,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,But the most human part was It took her 2 years to trust it. That’s the part no one puts in their Instagram bio; the time between it’s working and I believe it’s mine to keep.,reflective,absolute_language,False,2,,,,0.0,False
TRB_0081,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"She didn’t need to because her evolution as a businesswoman has already been steeped in truth, resilience, and a brave relationship with self-trust.",direct,,False,1,,,,0.0,False
TRB_0082,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"Those are the kinds of questions that build legacy, not just income.",reflective|warm,,False,1,,,,0.0,False
TRB_0083,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"But as I quietly watched her growth, both personally and professionally, she reminded me that mine didn’t need to be validated to be valuable.",calm|direct|reflective,,False,1,,,,0.0,False
TRB_0084,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"Those are the kinds of questions that build legacy, not just income. I didn’t create her transformation.",reflective|warm,,False,2,,,,0.0,False
TRB_0085,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,What kind of future do I want and how much do I need to make it happen? Am I investing in myself or playing it safe?,reflective|warm,,False,2,,,,0.0,False
TRB_0086,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,It wasn’t until 2017 that she left the classroom to become a full-time tutor.,direct,,False,1,,,,0.0,False
TRB_0087,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"In truth, what moves me most about her development isn’t her income.",direct,,False,1,,,,0.0,False
TRB_0088,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"She’s the reason I stopped asking, “will they get it?” And started saying, “I get it.",direct|reflective,,False,1,,,,0.0,False
TRB_0089,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"The gentle but powerful way she leads her business with honesty, grace and sheer dedication to those she helps.",calm|regulation_focused,,False,1,,,,1.0,True
TRB_0090,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,Sumantha began her business journey holding onto a belief many of us grew up with: “You can’t rely on a business.,direct,,False,1,,,,0.0,False
TRB_0091,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,She chose a path of self-discovery to understand her true passion which is never the easiest choice. Sumantha began her business journey holding onto a belief many of us grew up with: “You can’t rely on a business.,direct,absolute_language,False,2,,,,0.0,False
TRB_0092,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,She didn't take the path of least resistence. She chose a path of self-discovery to understand her true passion which is never the easiest choice.,direct,absolute_language,False,2,,,,0.0,False
TRB_0093,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"The ones that show me she’s leading herself with intention, even when no one’s watching.",direct,absolute_language,False,1,,,,0.0,False
TRB_0094,2026-02-04,"T.R.B Spotlight: Sumantha, The Quiet Power of Self-Awareness in Business",Blog,TRB audience — transformational leaders,"An innocense and kindness you don't often feel from such a strong women. But what kept me paying attention wasn’t just a shared beat, it was her rhythm.",warm,,False,2,,,,0.0,False
TRB_0095,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,Reflection TRB Comms is more than a rebrand.,reflective,,False,1,,,,0.0,False
TRB_0096,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"It’s about embodied transformation for artists, founders, leaders… and myself. I asked: What am I really here to build?",reflective,,False,2,,,,0.0,False
TRB_0097,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,I asked: What am I really here to build?,reflective,,False,1,,,,0.0,False
TRB_0098,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,I stepped fully into my truth as a Transformation Partner. Reflection TRB Comms is more than a rebrand.,reflective,,False,2,,,,0.0,False
TRB_0099,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,I stopped calling myself a coach. I stepped fully into my truth as a Transformation Partner.,reflective,,False,2,,,,0.0,False
TRB_0100,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,It’s a return to myself — and an invitation to others to do the same.,reflective,,False,1,,,,0.0,False
TRB_0101,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"Tee Rex was short for Tamara Rodgers. The Beats were my children, my literal heartbeat, my rhythm, and the reason I do any of this.",direct|reflective,,False,2,,,,0.0,False
TRB_0102,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"To be online, to be loud, to be relevant, to be everywhere.",direct,,False,1,,,,0.0,False
TRB_0103,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"But over time, I saw something beneath the surface—artists weren’t just struggling with promotion, they were struggling with alignment, burnout, and the emotional toll of being seen.",direct|playful|reflective,,False,1,,,,0.0,False
TRB_0104,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,Tee Rex was short for Tamara Rodgers.,direct,,False,1,,,,0.0,False
TRB_0105,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"The Beats were my children, my literal heartbeat, my rhythm, and the reason I do any of this. Tee Rex Beats started as a PR and communications service for musicians, supporting their visibility, messaging, and creative identity.",direct|empathetic|reflective|warm,,False,2,,regulation_focused,,0.0,False
TRB_0106,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"A sanctuary. TRB now holds space for Transformational Leadership, Soul-Led Branding, and Neuroscience-Informed Messaging—rooted in the framework I created: The T.R.B System™ — Truth.",clinical|direct|reflective,urgency_pressure,False,2,,capacity_honoring,urgency_pressure,0.0,False
TRB_0107,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"I created five offerings: V.I.B.E™, R.I.S.E™, B.E.A.T™, Brandiq™, Mar.chology™.",reflective,,False,1,,,,0.0,False
TRB_0108,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"Through my education in psychology, I began to understand how nervous system health, identity, and leadership are intrinsically linked.",reflective,,False,1,,,,0.0,False
TRB_0109,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"Behind the screens, I saw anxiety. Overwhelm.",reflective,,False,2,,,,0.0,False
TRB_0110,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"To be online, to be loud, to be relevant, to be everywhere. Founders, coaches, and creatives were breaking under the pressure to perform their brand on platforms that rewarded noise over nuance.",direct,,False,2,,,,0.0,False
TRB_0111,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,It’s a return to myself — and an invitation to others to do the same. It’s for those who don’t want to hustle harder… but want to lead deeper.,reflective,hard_language|hustle_language,False,2,,,hustle_language,0.0,False
TRB_0112,2026-02-04,"The TRB Story: Branding as Healing, Leading and Becoming",Blog,TRB audience — transformational leaders,"Founders, coaches, and creatives were breaking under the pressure to perform their brand on platforms that rewarded noise over nuance. Behind the screens, I saw anxiety.",reflective,,False,2,,,,0.0,False
